/who-can-get-discounted-phone-service/not-sure-qualified,,Spanish,Español,西班牙语
/who-can-get-discounted-phone-service/not-sure-qualified,,Lao/Hmong,Lao/Hmong ,劳/苗族
/who-can-get-discounted-phone-service/not-sure-qualified,,Khmer (Cambodian),Jemer (Camboyano),Jemer（柬埔寨）
/who-can-get-discounted-phone-service/not-sure-qualified,,Tagalog,Tagalo,他加禄语
/who-can-get-discounted-phone-service/not-sure-qualified,,Korean,Coreano,朝鲜的
/who-can-get-discounted-phone-service/not-sure-qualified,,Vietnamese,Vietnamita,越南
/who-can-get-discounted-phone-service/not-sure-qualified,,Chinese,Chino,中国
/who-can-get-discounted-phone-service/not-sure-qualified,,(Mandarin/Cantonese),(Mandarín / Cantonés),（普通话/广东话）
/who-can-get-discounted-phone-service/not-sure-qualified,,Japanese,Japonés,日本
/who-can-get-discounted-phone-service/not-sure-qualified,,TTY Number,Número TTY ,TTY号码
/who-can-get-discounted-phone-service/not-qualified,,"Sorry, you may not be able to get a discount.","Lo sentimos, es posible que no pueda obtener un descuento.",对不起，你可能不会得到折扣。
/who-can-get-discounted-phone-service/not-qualified,,"To be sure, contact us about California LifeLine:","Para estar seguro, contáctenos sobre el Programa California LifeLine.",可以肯定的，请联系我们在加州生命线课程。
/who-can-get-discounted-phone-service/not-qualified,,Monday–Friday,Lunes–Viernes,MF
/who-can-get-discounted-phone-service/not-qualified,,7 a.m.–7 p.m.,7 a.m.–7 p.m.,上午7点 - 下午7时。
/who-can-get-discounted-phone-service/not-qualified,,General number,Numero General,一般数
/who-can-get-discounted-phone-service/not-qualified,,English,Inglés,英语
/who-can-get-discounted-phone-service/not-qualified,,Spanish,Español,西班牙语
/who-can-get-discounted-phone-service/not-qualified,,Lao/Hmong,Lao/Hmong ,劳/苗族
/who-can-get-discounted-phone-service/not-qualified,,Khmer (Cambodian),Jemer (Camboyano),Jemer（柬埔寨）
/who-can-get-discounted-phone-service/not-qualified,,Tagalog,Tagalo,他加禄语
/who-can-get-discounted-phone-service/not-qualified,,Korean,Coreano,朝鲜的
/who-can-get-discounted-phone-service/not-qualified,,Vietnamese,Vietnamita,越南
/who-can-get-discounted-phone-service/not-qualified,,Chinese,Chino,中国
/who-can-get-discounted-phone-service/not-qualified,,(Mandarin/Cantonese),(Mandarín / Cantonés),（普通话/广东话）
/who-can-get-discounted-phone-service/not-qualified,,Japanese,Japonés,日本
/who-can-get-discounted-phone-service/not-qualified,,TTY Number,Número TTY ,TTY号码
/apply-online-discounted-phone-service,,Apply online for a discounted phone service,Solicite un servicio telefónico con descuento,要求打折电话服务
/apply-online-discounted-phone-service,,(California LifeLine) - Alpha.CA.gov,(Programa Lifeline de Califronia) - Alpha.CA.gov,（生命线计划Califronia） -  Alpha.CA.gov
/apply-online-discounted-phone-service,,"Learn how to apply or renew online for California LifeLine, a discounted phone service.","Aprende cómo solicitar o renovar por internet el programa California LifeLine, un servicio telefónico con descuento.",了解如何申请或在线更新加州生命线节目，折扣电话服务。
/apply-online-discounted-phone-service,,Apply or renew online for a discounted phone service,Solicite o renove por internet un servicio telefónico con descuento.,Renove请求或网上折扣电话服务。
/apply-online-discounted-phone-service,,Applying online for California LifeLine takes around five minutes.,Solicite por internet para el programa California LifeLine toma solo cinco minutos.,在线申请加州生命线程序只需要五分钟。
/apply-online-discounted-phone-service,,Apply or renew online,Solicite o renove por internet,Renove请求或在线
/apply-online-discounted-phone-service,,Before you start,Antes de empezar,开始之前
/apply-online-discounted-phone-service,,"If you don't have an application form, please","Si no tiene su solicitud, por favor",如果没有您的要求，请
/apply-online-discounted-phone-service,,go to the application process,visite al proceso de solicitud,访问应用程序
/apply-online-discounted-phone-service,,contact us,Contactenos,接触
/apply-online-discounted-phone-service,,"If you need a renewal form, please","Si necesita una solicitud para renovar, por favor",如果你需要一个应用程序更新，请
/apply-online-discounted-phone-service,,What you need to apply,Que necesites para solicitar,你需要申请
/apply-online-discounted-phone-service,,"To apply online, you’ll need two details from your application form:","Para que solicite por internet, necesitará dos detalles de su solicitud:",在网上申请，您将需要您的要求的两个细节：
/apply-online-discounted-phone-service,,Your,Su,他的
/apply-online-discounted-phone-service,,Personal Identification Number (PIN),Numero de Identificación Personal (PIN),个人识别号码（PIN）
/apply-online-discounted-phone-service,,applicant’s phone number,número de teléfono del solicitante,申请人电话号码
/apply-online-discounted-phone-service,,or enrollment code,o código de inscripción,或注册码
/apply-online-discounted-phone-service,,Another option to apply,Otra opción para que solicite,另一种选择，以请求
/apply-online-discounted-phone-service,,You can also apply by mail. Simply fill out and mail back the form inside the pink letter you get after,También puede solicitar por correo. Simplemente complete y envíe por correo el formulario dentro de el sobre rosado que recibirá despues que ,您也可以通过邮件申请。只需填写并邮寄的粉红色信封的形式，您将收到后你
/apply-online-discounted-phone-service,,starting your application process,empieze su proceso de solicitud,启动应用程序
/apply-for-unemployment-insurance,,Apply for unemployment insurance,Solicite el seguro de desempleo,申请失业保险
/apply-for-unemployment-insurance,,Unemployment insurance (UI) pays part of your income after your employer lays you off or reduces your hours.,El seguro de desempleo (UI) paga parte de sus ingresos después de que su empleador lo despide o reduce sus horas,失业保险（UI）雇主火灾后支付你的收入的一部分或减少工作时间
/apply-for-unemployment-insurance,,Who can apply,Quién puede aplicar,谁可以申请
/apply-for-unemployment-insurance,,"To get UI, you must be:","Para recibir UI, debe ser:",要接收UI应该是：
/apply-for-unemployment-insurance,,Totally or partly unemployed,Total o parcialmente desempleado.,全部或部分失业。
/apply-for-unemployment-insurance,,Unemployed not because of anything you did,Desempleado sin culpa de usted,失业过错的你
/apply-for-unemployment-insurance,,Physically able to work,Físicamente apto para trabajar,身体健康工作
/apply-for-unemployment-insurance,,Available and willing to work,Disponible para trabajar,可用于工作
/apply-for-unemployment-insurance,,Looking for work,Buscando trabajo,找工作
/apply-for-unemployment-insurance,,You also must have made enough money in the last 18 months to get UI benefits. Find out what your UI payments would be by calculating your benefits.,También debe haber ganado suficiente dinero en los últimos 18 meses para obtener beneficios de UI. Descubra cuáles serían sus pagos de UI calculando sus beneficios.,还必须在过去18个月赚了足够的钱，获得失业救济金。找出你的款项将被计算失业救济金。
/apply-for-unemployment-insurance,,Calculate benefits,Calcular los beneficios,计算的好处
/apply-for-unemployment-insurance/when-to-apply,,When to apply,Cuando presentar una solicitud,当提交申请
/apply-for-unemployment-insurance/when-to-apply,,"Apply within the first week after your employer laid you off or reduced your hours. If you wait, you might delay your payments.","Presente su solicitud para beneficios durante la primera semana en que usted este desempleado o le han reducido sus horas de trabajo. Si espera, puede retrasar sus pagos",在第一个星期你是失业或你已经减少工作时间提交你的好处的应用程序。如果你等待，你可以延迟付款
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,What you need before you apply,Que necesitas antes de presentar una solicitud,您在提交申请之前，需要
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Last employer information,Información sobre su último empleador,关于你的最后一个雇主信息
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"The last employer is the last company you worked for. Or, if your employer reduced your hours, you could still work there part-time.","El último empleador es la última compañía para la que trabajó. O, si su empleador reduce sus horas, todavía podría trabajar allí a tiempo parcial.",最后一个雇主是最后的公司我的工作。或者，如果你的雇主减少你的时间，还是他能在那里工作的兼职。
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Name of the company as it appears on your paycheck or W-2 form,Nombre de la compañía tal como aparece en sus talones de cheques o en la forma W-2.,公司名称，因为它出现在你的薪水存根或W-2表格。
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,The name could be a payroll agency or staffing agency,Ésta podría ser una agencia de nóminas de pago o una agencia de empleos,这可能是代发工资或职业介绍
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Complete mailing address,Dirección postal,地址
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Supervisor’s name,Nombre del supervisor,主管的名称
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Total wages for the last week you worked,Salario de la última semana que trabajó,上周的薪水是工作
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,The reason your employer reduced your hours or that you’re no longer working there,La razón por la cual su empleador redujo sus horas o porque ya no está trabajando allí,之所以你的雇主减少你的时间，或者因为它不再在那里工作
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Employment history,Historial de empleos,工作经历
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"All of your employers from the last 18 months, including your last employer",Todos los empleadores en los últimos 18 meses incluyendo al último empleador,在过去的18个月，所有用人单位，包括最后的用人单位
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,List them as they appear on your paycheck or W-2 form,Enumerarlos tal como aparecen en su talón de cheque ó forma W-2,枚举，因为他们是它的头或W-2
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Your start and end dates,Fecha que comenzó y en la que terminó de trabajar,开始日期和结束了工作
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Total wages earned,Sueldos que ganó,挣工资
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"How often you were paid (hourly, weekly, monthly)","Cómo se le pagaba (por hora, semanal, mensual)",如何支付（每小时，每周，每月）
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Hours worked per week,Horas trabajadas por semana,小时每周工作
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Your information,Su información,信息
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Social Security Number,Número de seguridad social,社会安全号码
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Driver’s license or ID card number,Licencia de conducir o número de tarjeta de identificación,驾照或身份证号码
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Citizenship status,Estado de ciudadanía,公民身份
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Mailing address,Dirección de envio,邮寄地址
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Telephone number,Número de teléfono,电话号码
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"Name, including names you no longer use (such as your married or maiden names)",Nombre (incluyendo nombres anteriores que haya usado (como de casado o de soltero),名称（包括使用以前的名称（如已婚或未婚）
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,Other information,Otra información,其他信息
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"If you are not a U.S. citizen, information from your employment authorization document","Si usted no es un ciudadano estadounidense, la información de su documento de autorización de empleo",如果你不是美国公民，你的就业授权文件的信息
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"If you are a former federal employee, your Notice to Federal Employees About Unemployment Insurance, Standard Form 8","Si usted es un ex empleado federal, su forma titulada en ingles, Standard Form 8, Notice to Federal Employees About Unemployment Insurance",如果你是一个前联邦雇员的形式在英国，标准表格8，通知标题为联邦雇员失业保险
/apply-for-unemployment-insurance/what-you-need-before-you-apply,,"If you served in the military in the last 18 months, your DD Form 214","Si estuvo en el servicio militar en los últimos 18 meses, su Formulario DD 214",如果你是在军队服役，在过去18个月中，你的DD表格214
/apply-for-unemployment-insurance/how-to-apply/,,How to apply,Cómo presentar una solicitud,如何申请
/apply-for-unemployment-insurance/how-to-apply/,,Applying online is the fastest way to file for unemployment insurance. You can apply during the times below.,Solicitando por internet es la manera más rápida para presentar una solicitud del seguro de desempleo. Se puede solicitar durante los tiempos siguientes.,网上申请是申请失业保险的最快方式。您可以将下一次。
/apply-for-unemployment-insurance/how-to-apply/,,Days,Dias,迪亚斯
/apply-for-unemployment-insurance/how-to-apply/,,Sunday,Domingo,星期天
/apply-for-unemployment-insurance/how-to-apply/,,Monday,Lunes,星期一
/apply-for-unemployment-insurance/how-to-apply/,,Tuesday – Friday,Martes – Viernes,周二 - 周五
/apply-for-unemployment-insurance/how-to-apply/,,Saturday,Sábado,星期六
/apply-for-unemployment-insurance/how-to-apply/,,5 a.m. – 8:30 p.m.,5 a.m. – 8:30 p.m.,凌晨5点 - 下午8点半
/apply-for-unemployment-insurance/how-to-apply/,,4 a.m. – 10 p.m.,4 a.m. – 10 p.m.,凌晨4时 - 晚上10点
/apply-for-unemployment-insurance/how-to-apply/,,2 a.m. – 10 p.m.,2 a.m. – 10 p.m.,凌晨2时 - 晚上10点
/apply-for-unemployment-insurance/how-to-apply/,,2 a.m. – 8 p.m.,2 a.m. – 8 p.m.,凌晨2时 - 晚上8点
/apply-for-unemployment-insurance/how-to-apply/,,Apply online,Solicitar por internet,在线申请
/apply-for-unemployment-insurance/how-to-apply/,,Apply by phone,Solicitar por teléfono,通过电话订购
/apply-for-unemployment-insurance/how-to-apply/,,Days ,Días,天
/apply-for-unemployment-insurance/how-to-apply/,,Monday – Friday (except state holidays),Lunes – Viernes (excepto días festivos estatales),周一 - 周五（除节假日州）
/apply-for-unemployment-insurance/how-to-apply/,,Available times,Horarios disponibles,可用时间
/apply-for-unemployment-insurance/how-to-apply/,,8 a.m. – 12 p.m. noon,8 a.m. – 12 p.m. mediodía,上午8点 -  12PM中午
/apply-for-unemployment-insurance/how-to-apply/,,Toll-free numbers,Números gratuitos,免费电话号码
/apply-for-unemployment-insurance/how-to-apply/,,English 1-800-300-5616,Inglés 1-800-300-5616,英语1-800-300-5616
/apply-for-unemployment-insurance/how-to-apply/,,Spanish 1-800-326-8937,Español 1-800-326-8937,西班牙1-800-326-8937
/apply-for-unemployment-insurance/how-to-apply/,,Cantonese 1-800-547-3506,Cantonés 1-800-547-3506,1-800-547-3506广东话
/apply-for-unemployment-insurance/how-to-apply/,,Mandarin 1-866-303-0706,Mandarín 1-866-303-0706,文华1-866-303-0706
/apply-for-unemployment-insurance/how-to-apply/,,Vietnamese 1-800-547-2058,Vietnamita 1-800-547-2058,越南1-800-547-2058
/apply-for-unemployment-insurance/how-to-apply/,,TTY 1-800-815-9387,TTY 1-800-815-9387,TTY 1-800-815-9387
/apply-for-unemployment-insurance/how-to-apply/,,Apply by mail or fax,Presente un solicitud por correo o fax,通过邮件或传真提交申请
/apply-for-unemployment-insurance/how-to-apply/,,"If you mail or fax your application, processing could take up to 10 days.","Si envía su solicitud por correo o fax, puede tomar hasta 10 días para procesarse.",如果您通过邮件或传真发送您的要求，您可能需要长达10天的过程。
/apply-for-unemployment-insurance/how-to-apply/,,Print and fill out an application form:,Imprime y llene su solicitud:,打印并填写您的应用程序：
/apply-for-unemployment-insurance/how-to-apply/,,If you worked in California: English | Spanish,Si trabajó en California: Inglés | Español,如果您在加利福尼亚州工作：英语|西班牙语
/apply-for-unemployment-insurance/how-to-apply/,,If you worked in California and another state: English | Spanish,Si trabajó en California y otro estado: Inglés | Español,如果您在加利福尼亚州和其他州的工作：英语|西班牙语
/apply-for-unemployment-insurance/how-to-apply/,,If you served in the military: English | Spanish,Si estuvo en el servicio militar: Inglés | Español,如果你是在军队服务：英语|西班牙语
/apply-for-unemployment-insurance/how-to-apply/,,If you worked for the federal government: English | Spanish,Si trabajó para el gobierno federal: Inglés | Español,如果你就职于联邦政府：英语|西班牙语
/apply-for-unemployment-insurance/how-to-apply/,,Mail your application to:,Envíe su solicitud a:,请将您的要求：
/apply-for-unemployment-insurance/how-to-apply/,,EDD,EDD,EDD
/apply-for-unemployment-insurance/how-to-apply/,,P.O. Box 12906,P.O. Box 12906,邮政信箱盒12906
/apply-for-unemployment-insurance/how-to-apply/,,"Oakland, CA 94604-2909","Oakland, CA 94604-2909",奥克兰，CA 94604-2909
/apply-for-unemployment-insurance/how-to-apply/,[global-lang-or-lower],or,o,或
/apply-for-unemployment-insurance/how-to-apply/,,Fax it to: 1-866-215-9159,Por fax al: 1-866-215-9159,传真上：1-866-215-9159
/apply-for-unemployment-insurance/after-you-apply/,,After you apply,Después de presentar su solicitud,提交申请后，
/apply-for-unemployment-insurance/after-you-apply/,,We might call you,Le podríamos llamar,你可以调用
/apply-for-unemployment-insurance/after-you-apply/,,"If we have any questions about whether you can get UI, we’ll schedule a call with you.","Si tenemos alguna pregunta acerca de si se puede obtener el seguro de desempleo (UI), programaremos una llamada con usted.",如果你对你是否能得到失业保险有任何疑问（UI），我们安排与你的电话。
/apply-for-unemployment-insurance/after-you-apply/,,"If you don’t pick up, we’ll use the information from your application to make a decision. Your application might be delayed or rejected.","Si no descuelga, vamos a utilizar la información de su solicitud para tomar una decisión. Su aplicación podría ser retrasada o rechazada.",如果没有回复，我们将使用你的应用程序中的信息来做出决定。您的申请可能被延迟或拒绝。
/apply-for-unemployment-insurance/after-you-apply/,,You can reschedule your call online or contact UI.,Usted puede reprogramar su llamada por internet o comunicándose con UI.,你可以重新定义你的互联网电话或联系UI。
/apply-for-unemployment-insurance/after-you-apply/,,"If so, prepare for our call","Si es así, prepararse para nuestra llamada",如果是这样，准备为我们的呼叫
/apply-for-unemployment-insurance/after-you-apply/,,"If we decide to call you, we’ll mail you a letter with the time and date of our phone call. ","Si decidimos llamarle, le enviaremos por correo una carta con la fecha y la hora de nuestra llamada telefónica.",如果我们决定要调用它，我们会发邮件与我们通话的日期和时间的函。
/apply-for-unemployment-insurance/after-you-apply/,,It will include several questions that we might ask you.,Incluirá varias preguntas que le puede hacer.,这将包括几个问题，你可以做。
/apply-for-unemployment-insurance/after-you-apply/,,Review the questions and think about your answers. Be prepared to:,Revise las preguntas y piense en sus respuestas. Esté  preparado para:,审查的问题，想想你的答案。有备无患：
/apply-for-unemployment-insurance/after-you-apply/,,Share why you no longer work for your last employer,Comparte por qué ya no hay trabajo para su último empleador,分享为什么有你的上一位老板不再工作
/apply-for-unemployment-insurance/after-you-apply/,,Answer our questions with detailed responses,Responde a nuestras preguntas con respuestas detalladas,答案我们详细解答疑问
/apply-for-unemployment-insurance/after-you-apply/,,Read our responses,Lee nuestras respuestas,请阅读我们的答案
/apply-for-unemployment-insurance/after-you-apply/,,We’ll mail you two important letters:,Le enviaremos por correo dos cartas importantes:,我们将寄给两个重要信件：
/apply-for-unemployment-insurance/after-you-apply/,,We’ll let you know if we’ve approved your application.,Nosotros le haremos saber si hemos aprobado su solicitud.,我们将让你知道，如果我们已批准你的申请。
/apply-for-unemployment-insurance/after-you-apply/,,We’ll send you a Continued Claim Form (DE 4581). Please note: ,Le enviaremos un formulario de Solicitud de Beneficios Continuos (DE 4581/S). Tenga en cuenta:,我们将派遣一个表格续索赔（DE 4581 / S）。请注意：
/apply-for-unemployment-insurance/after-you-apply/,,You have to fill it out and mail it back to us to keep getting payments.,Usted tiene que llenar y enviar de nuevo a nosotros a seguir recibiendo pagos.,你必须填写并寄回给我们以继续接收付款。
/apply-for-unemployment-insurance/after-you-apply/,,Sign up for CalJOBS,Inscríbirse para CalJOBS,注册为CalJOBS
/apply-for-unemployment-insurance/after-you-apply/,,"If you're approved for UI, you'll likely have to sign up for CalJOBS. ","Si es aprobado para UI, es probable que tenga que registrarte para CalJOBS.",如果批准了UI，你可能需要注册为CalJOBS。
/apply-for-unemployment-insurance/after-you-apply/,,You'll also need to create an online resume that employers can find.,Usted también necesita crear un resumen por internet que los empleadores pueden encontrar.,您还需要创建一个在线的总结，雇主可以找到。
/apply-for-unemployment-insurance/after-you-apply/,,You must create your profile within 21 days after you get the form Notice of Requirement to Register for Work (DE 8405). ,Debe crear su perfil dentro de los 21 días después de recibir el formulario de Notificación sobre los requisitos para registrarse para un empleo (DE 8405/S).,您必须在收到对就业登记规定的申报书后，创建于21日内对您的个人资料（DE 8405 / S）。
/apply-for-unemployment-insurance/after-you-apply/,,"Please note: If you don’t, you might delay or lose your UI payments.","Tenga en cuenta: Si no lo hace, es posible retrasar o perder sus pagos de UI.",注意：如果你不这样做，有可能延缓或失去他们的UI付款。
/apply-for-unemployment-insurance/after-you-apply/,,How to register for CalJOBS and post a resume (YouTube),Cómo registrarse para CalJOBS y publicar un resumen (YouTube),如何注册CalJOBS并发布汇总（YouTube）的
/apply-for-unemployment-insurance/after-you-apply/,,Get payments,Obtener pagos,获取付款
/apply-for-unemployment-insurance/after-you-apply/,,We’ll mail you a debit card for your first payment. ,Le enviaremos por correo una tarjeta de débito para su primer pago.,我们将寄给你的首付款借记卡。
/apply-for-unemployment-insurance/after-you-apply/,,"Then, you can activate it in two ways:","A continuación, se puede activar de dos maneras:",然后，你可以把在两个方面：
/apply-for-unemployment-insurance/after-you-apply/,,Online,Por internet,在线
/apply-for-unemployment-insurance/after-you-apply/,,Or by phone:,O por teléfono:,或致电：
/apply-for-unemployment-insurance/after-you-apply/,,1-866-692-9374,1-866-692-9374,1-866-692-9374
/apply-for-unemployment-insurance/after-you-apply/,,TTY 1-866-656-5913,TTY 1-866-656-5913,TTY 1-866-656-5913
/apply-for-unemployment-insurance/after-you-apply/,,Outside of U.S.:Call collect at 1-423-262-1650,Fuera de EE.UU: Llama por cobrar al 1-423-262-1650,美国以外：呼叫从1-423-262-1650账款
/apply-for-unemployment-insurance/after-you-apply/,,You can transfer money to your other bank accounts for free.,Usted puede transferir dinero a sus otras cuentas bancarias de forma gratuita.,到其他银行账户免费，您可以汇款。
/apply-for-unemployment-insurance/after-you-apply/,,Set up the transfer online or by calling the phone number on the bank of the debit card we send you.,Configure la transferencia por internet o llamando al número de teléfono en el banco de la tarjeta de débito que le enviamos.,配置传输在线或致电银行借记卡，我们送你上的电话号码。
/apply-for-unemployment-insurance/after-you-apply/,,Get updates about your payments online or by calling 1-866-333-4606.,Obtenga recordatorios sobre sus pagos por internet o llamando al 1-866-333-4606.,获取有关您的付款提醒，在网上或通过调用1-866-333-4606。
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,Update us every two weeks,Pongase en contacto son nosotros cada dos semanas,他们是我们请每两个星期联系
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,"To keep getting payments, you have to contact us every two weeks to let us know you still qualify for UI. This is called certifying for benefits.","Para seguir recibiendo sus pagos, usted tiene que ponerse en contacto con nosotros cada dos semanas para hacernos saber que todavía califica para UI. Esto se conoce como la certificación de los beneficios.",要继续收到付款，你必须与我们联系，每两个星期，让我们知道您仍然有资格UI。这就是所谓的好处认证。
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,Certify online,Certificar en por internet,网上的Certify
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,Certify by phone,Certificar por teléfono,核证电话
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,1-866-333-4606,1-866-333-4606,1-866-333-4606
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,Certify by mail,Certificar por correo,的Certify邮件
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,We’ll mail you a Continued Claim Form (DE 4581CTO) within 10 days after we’ve processed your application.,Le enviaremos por correo un formulario de Solicitud de Beneficios Continuos (DE 4581CTO) dentro de los 10 días después de que hayamos procesado su solicitud.,我们将在10天内邮寄给你一种形式继续索赔（DE 4581CTO）我们处理您的请求后。
/apply-for-unemployment-insurance/update-us-every-two-weeks/,,Fill it out and mail it to the address we've listed in your letter.,Llenarla y enviarla por correo a la dirección que hemos enumerado en su carta.,填好后邮寄给我们在您的信中所列的地址。
